latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
5.16828,100.48409,313.84,2.17,1.43,2024-09-19,03:28,T,66,6.1NRT,292.86,18.45,D
5.1691,100.48992,315.19,2.17,1.43,2024-09-19,03:28,T,54,6.1NRT,292.91,20.3,D
-7.98665,139.78526,315.72,1.01,1,2024-09-19,04:59,A,71,6.1NRT,289.53,9.09,D
-8.09907,139.57797,310.27,1.02,1.01,2024-09-19,04:59,A,59,6.1NRT,278.35,6.97,D
-7.96985,142.70905,315.64,1.16,1.07,2024-09-19,04:59,A,0,6.1NRT,294.2,8.76,D
-8.34468,141.93872,315.08,1.07,1.03,2024-09-19,04:59,A,52,6.1NRT,295.56,7.97,D
-8.37885,142.44548,322.67,1.12,1.05,2024-09-19,04:59,A,72,6.1NRT,292.78,16.94,D
-8.37735,142.4554,314.94,1.12,1.05,2024-09-19,04:59,A,49,6.1NRT,293.26,8.24,D
-8.55613,142.07121,314.44,1.07,1.03,2024-09-19,04:59,A,60,6.1NRT,294.91,8.44,D
-8.66452,141.70859,321.64,1.04,1.02,2024-09-19,04:59,A,66,6.1NRT,293.36,14.47,D
-8.10038,139.56892,309.25,1.02,1.01,2024-09-19,04:59,A,50,6.1NRT,281.76,6.31,D
-4.29556,143.9738,317.42,1.58,1.24,2024-09-19,05:01,A,39,6.1NRT,299.02,11.07,D
-6.46719,146.50873,317.1,2.28,1.46,2024-09-19,05:01,A,71,6.1NRT,294.76,21.6,D
-6.48918,146.37077,321.16,2.22,1.44,2024-09-19,05:01,A,76,6.1NRT,296.61,31.16,D
-5.12808,141.48743,312.47,1.09,1.04,2024-09-19,05:01,A,56,6.1NRT,294.72,8.61,D
-5.12948,141.47795,316.55,1.09,1.04,2024-09-19,05:01,A,73,6.1NRT,295.39,12.63,D
-5.12094,141.40886,315.61,1.08,1.04,2024-09-19,05:01,A,73,6.1NRT,285.9,14.27,D
-4.42364,144.12076,362.42,1.61,1.25,2024-09-19,05:01,A,100,6.1NRT,300.28,169.79,D
-3.87461,143.23817,332.42,1.42,1.18,2024-09-19,05:01,A,85,6.1NRT,296.4,37.89,D
-3.95821,143.37399,326.8,1.45,1.19,2024-09-19,05:01,A,76,6.1NRT,299.22,23.79,D
-3.95394,143.36609,320.11,1.45,1.19,2024-09-19,05:01,A,60,6.1NRT,299.07,12.95,D
-3.95197,143.3788,320.99,1.45,1.19,2024-09-19,05:01,A,19,6.1NRT,299.43,12.87,D
-4.00739,143.43965,334.39,1.46,1.19,2024-09-19,05:01,A,86,6.1NRT,297.23,41.54,D
-4.15309,142.87875,325.19,1.33,1.14,2024-09-19,05:01,A,0,6.1NRT,297.63,23.34,D
-4.08087,143.49721,322.05,1.47,1.2,2024-09-19,05:01,A,51,6.1NRT,298.81,17.18,D
-4.21121,143.23819,418.34,1.4,1.17,2024-09-19,05:01,A,94,6.1NRT,302.01,610.67,D
-4.24111,143.17978,327.02,1.39,1.17,2024-09-19,05:01,A,60,6.1NRT,298.12,25.45,D
-4.25142,143.18135,322.48,1.39,1.17,2024-09-19,05:01,A,70,6.1NRT,298.2,18.9,D
-4.30374,143.1709,319.99,1.39,1.17,2024-09-19,05:01,A,49,6.1NRT,296.4,13.07,D
-4.3019,143.18312,335.07,1.39,1.17,2024-09-19,05:01,A,81,6.1NRT,299.09,43.02,D
-4.28039,143.39609,322.04,1.44,1.19,2024-09-19,05:01,A,0,6.1NRT,299.03,20.13,D
30.48212,140.29468,310.78,2.79,1.6,2024-09-19,05:12,A,43,6.1NRT,295.91,29.67,D
-6.93452,110.86217,325.63,1.61,1.25,2024-09-19,06:40,A,63,6.1NRT,309.96,15.79,D
-7.17143,107.98402,321.6,2.74,1.58,2024-09-19,06:40,A,73,6.1NRT,301.79,50.2,D
-7.17466,107.95942,314.91,2.75,1.59,2024-09-19,06:40,A,52,6.1NRT,300.23,21.13,D
-3.86726,122.39309,313.78,2.82,1.6,2024-09-19,06:40,A,35,6.1NRT,293.17,29.27,D
-3.97542,114.69717,315.81,1,1,2024-09-19,06:40,A,59,6.1NRT,301.35,5.35,D
-3.72828,114.63074,318.92,1,1,2024-09-19,06:40,A,59,6.1NRT,302.78,6.68,D
-3.67823,114.77972,314.43,1,1,2024-09-19,06:40,A,47,6.1NRT,293.12,5.18,D
-3.53518,114.75214,318,1,1,2024-09-19,06:40,A,47,6.1NRT,289.3,5.06,D
-3.53646,114.74333,323.58,1,1,2024-09-19,06:40,A,75,6.1NRT,291.05,10.48,D
-3.3613,115.25358,327.17,1.01,1,2024-09-19,06:40,A,64,6.1NRT,295.61,19.01,D
-2.99512,115.03278,322.81,1.01,1,2024-09-19,06:40,A,74,6.1NRT,301.56,10.91,D
-3.13918,113.85316,339.59,1.02,1.01,2024-09-19,06:40,A,89,6.1NRT,303.02,32.78,D
-3.12252,113.90549,324.57,1.01,1.01,2024-09-19,06:40,A,45,6.1NRT,305.51,12.69,D
-3.11362,113.9042,325.97,1.01,1.01,2024-09-19,06:40,A,51,6.1NRT,303.4,13.04,D
-3.106,113.89397,337.08,1.01,1.01,2024-09-19,06:40,A,86,6.1NRT,302.43,27.32,D
-3.10729,113.88503,336.04,1.01,1.01,2024-09-19,06:40,A,86,6.1NRT,302.79,26.4,D
-3.12147,113.78654,321.63,1.02,1.01,2024-09-19,06:40,A,58,6.1NRT,298.08,12.37,D
-3.09838,113.88374,352.93,1.01,1.01,2024-09-19,06:40,A,96,6.1NRT,304.66,61.05,D
-3.08831,113.88563,328.25,1.01,1.01,2024-09-19,06:40,A,80,6.1NRT,296.86,20.69,D
-3.08961,113.87669,326.26,1.01,1.01,2024-09-19,06:40,A,74,6.1NRT,299.91,18.02,D
-2.89461,115.09383,320.51,1.01,1,2024-09-19,06:40,A,63,6.1NRT,301.69,8.08,D
-3.0283,113.98607,315.24,1.01,1,2024-09-19,06:40,A,54,6.1NRT,300.16,5.68,D
-3.02959,113.97717,320.18,1.01,1,2024-09-19,06:40,A,69,6.1NRT,301.22,10.15,D
-3.05455,113.61466,315.34,1.03,1.01,2024-09-19,06:40,A,56,6.1NRT,299.26,6.31,D
-7.29504,112.56258,325.54,1.25,1.11,2024-09-19,06:40,A,52,6.1NRT,296.78,13.1,D
-6.95326,115.92207,313.84,1.01,1,2024-09-19,06:40,A,54,6.1NRT,302.3,8.06,D
-8.09215,111.76156,325.71,1.44,1.19,2024-09-19,06:40,A,76,6.1NRT,301.95,22.73,D
-8.08904,111.75428,320.51,1.44,1.19,2024-09-19,06:40,A,70,6.1NRT,302.89,14.04,D
-8.08714,111.76858,318.92,1.44,1.19,2024-09-19,06:40,A,67,6.1NRT,301.56,12.09,D
-8.27742,113.70255,318.76,1.11,1.05,2024-09-19,06:40,A,42,6.1NRT,305.07,6.84,D
-8.49065,117.61516,327.07,1.1,1.04,2024-09-19,06:40,A,60,6.1NRT,293.41,13.27,D
-8.40431,118.37997,323.29,1.2,1.09,2024-09-19,06:40,A,41,6.1NRT,293.16,17.11,D
-8.43448,118.24458,347.97,1.18,1.08,2024-09-19,06:40,A,94,6.1NRT,292,64.77,D
-8.43284,118.25553,334.53,1.18,1.08,2024-09-19,06:40,A,85,6.1NRT,292.06,33.83,D
-8.37476,118.64172,325.64,1.24,1.11,2024-09-19,06:40,A,64,6.1NRT,303.52,14.37,D
-8.41891,118.41388,316.73,1.2,1.09,2024-09-19,06:40,A,42,6.1NRT,292.5,13.18,D
-8.8005,115.96578,327.93,1,1,2024-09-19,06:40,A,80,6.1NRT,297.09,16.64,D
-8.40927,118.63113,335.69,1.24,1.1,2024-09-19,06:40,A,85,6.1NRT,303.98,32.81,D
-8.50339,118.20972,323.9,1.17,1.08,2024-09-19,06:40,A,57,6.1NRT,297.76,12.51,D
-8.42327,118.7359,321.99,1.25,1.11,2024-09-19,06:40,A,44,6.1NRT,299.64,10.87,D
-8.65902,117.36114,314.76,1.07,1.03,2024-09-19,06:40,A,25,6.1NRT,294.88,7.89,D
-8.35958,120.02337,310.83,1.53,1.22,2024-09-19,06:40,A,44,6.1NRT,299.43,12.28,D
-7.29477,111.39784,325.57,1.49,1.2,2024-09-19,06:40,A,46,6.1NRT,305.37,16.4,D
-9.89525,119.88122,311.47,1.41,1.18,2024-09-19,06:40,A,42,6.1NRT,288.55,9.21,D
-1.02044,111.92959,384.85,1.14,1.07,2024-09-19,06:42,A,100,6.1NRT,299.28,204.87,D
-0.80442,113.48141,328.58,1.01,1.01,2024-09-19,06:42,A,82,6.1NRT,299.67,20.91,D
-0.70707,114.15135,315.96,1,1,2024-09-19,06:42,A,51,6.1NRT,297.9,7.24,D
-0.71974,114.12628,328.58,1,1,2024-09-19,06:42,A,81,6.1NRT,299.1,20.21,D
-0.99823,112.27822,334.62,1.1,1.05,2024-09-19,06:42,A,87,6.1NRT,298.02,34.09,D
-0.99682,112.28787,315.24,1.1,1.05,2024-09-19,06:42,A,66,6.1NRT,297.08,9.16,D
-1.19295,111.02013,313.89,1.29,1.13,2024-09-19,06:42,A,64,6.1NRT,297.69,9.69,D
-1.17461,111.14429,328.22,1.27,1.12,2024-09-19,06:42,A,82,6.1NRT,298.47,29.89,D
-1.17297,111.15541,319.79,1.27,1.12,2024-09-19,06:42,A,74,6.1NRT,297.62,16.81,D
-0.69527,114.4192,321.54,1,1,2024-09-19,06:42,A,64,6.1NRT,297.94,12.64,D
-0.69399,114.42802,339.11,1,1,2024-09-19,06:42,A,77,6.1NRT,297.78,35.31,D
-0.64779,114.74686,318.02,1.01,1.01,2024-09-19,06:42,A,66,6.1NRT,299.95,8.23,D
-1.02099,112.25197,317.84,1.1,1.05,2024-09-19,06:42,A,70,6.1NRT,298.06,11.95,D
-1.01956,112.26164,338.5,1.1,1.05,2024-09-19,06:42,A,89,6.1NRT,298.93,40.95,D
-0.98158,112.5198,311.59,1.08,1.04,2024-09-19,06:42,A,55,6.1NRT,297.73,5.61,D
-0.95541,112.69798,310.97,1.06,1.03,2024-09-19,06:42,A,52,6.1NRT,295.34,4.95,D
-0.95404,112.70728,312.69,1.06,1.03,2024-09-19,06:42,A,59,6.1NRT,296.72,6.32,D
-0.80769,113.7079,317,1,1,2024-09-19,06:42,A,67,6.1NRT,297.53,8.64,D
-0.73605,114.20046,324.51,1,1,2024-09-19,06:42,A,77,6.1NRT,299.07,15.7,D
-0.73477,114.20925,325.94,1,1,2024-09-19,06:42,A,79,6.1NRT,298.49,17.4,D
-1.02749,112.25965,319.56,1.1,1.05,2024-09-19,06:42,A,72,6.1NRT,298.47,12.4,D
-0.7591,114.18361,367.72,1,1,2024-09-19,06:42,A,100,6.1NRT,302.96,101.7,D
-0.75783,114.1924,336.78,1,1,2024-09-19,06:42,A,87,6.1NRT,299.76,29.7,D
-0.75527,114.20998,324.17,1,1,2024-09-19,06:42,A,76,6.1NRT,298.28,14.3,D
-0.75399,114.21877,341.5,1,1,2024-09-19,06:42,A,90,6.1NRT,298.84,38.63,D
-0.83435,113.72743,317.18,1,1,2024-09-19,06:42,A,67,6.1NRT,297.32,9.08,D
-0.93897,113.06793,313.7,1.03,1.02,2024-09-19,06:42,A,60,6.1NRT,297.66,6.7,D
-0.93766,113.07699,321.43,1.03,1.02,2024-09-19,06:42,A,74,6.1NRT,297.6,13.83,D
-0.81754,113.96777,334.35,1,1,2024-09-19,06:42,A,86,6.1NRT,299.28,27.63,D
-0.81627,113.97657,318.9,1,1,2024-09-19,06:42,A,70,6.1NRT,298.88,9.61,D
-1.25611,111.01281,311.2,1.3,1.13,2024-09-19,06:42,A,57,6.1NRT,297.5,6.89,D
-0.96221,113.03419,315.86,1.04,1.02,2024-09-19,06:42,A,45,6.1NRT,298.08,7.45,D
-0.96089,113.04328,314.87,1.03,1.02,2024-09-19,06:42,A,38,6.1NRT,297.46,6.6,D
-0.89953,113.46556,318.24,1.01,1.01,2024-09-19,06:42,A,69,6.1NRT,298.64,9.37,D
-0.9712,113.0355,318.26,1.04,1.02,2024-09-19,06:42,A,70,6.1NRT,298.4,9.87,D
-0.96987,113.04459,318.56,1.03,1.02,2024-09-19,06:42,A,70,6.1NRT,298.22,10.2,D
-1.35094,110.50645,318.32,1.4,1.17,2024-09-19,06:42,A,72,6.1NRT,281.13,21.79,D
-0.86582,113.82204,327.87,1,1,2024-09-19,06:42,A,81,6.1NRT,298.75,19.63,D
-0.86454,113.83085,334.89,1,1,2024-09-19,06:42,A,86,6.1NRT,298.81,28.95,D
-0.79045,114.34085,322.49,1,1,2024-09-19,06:42,A,74,6.1NRT,297.02,14.23,D
-0.78917,114.34965,316.77,1,1,2024-09-19,06:42,A,65,6.1NRT,296.65,8.85,D
-1.08042,112.4147,313.97,1.09,1.04,2024-09-19,06:42,A,62,6.1NRT,297.25,7.21,D
-1.03215,112.74421,314.39,1.06,1.03,2024-09-19,06:42,A,62,6.1NRT,296.75,7.45,D
-0.90166,113.63798,319.22,1.01,1,2024-09-19,06:42,A,70,6.1NRT,299.46,9.9,D
-0.90037,113.64682,314.81,1.01,1,2024-09-19,06:42,A,61,6.1NRT,298.94,5.96,D
-0.88621,113.74402,352.88,1,1,2024-09-19,06:42,A,96,6.1NRT,299.46,62.14,D
-0.88493,113.75283,317.23,1,1,2024-09-19,06:42,A,67,6.1NRT,296.97,8.38,D
-0.84908,113.99931,320.53,1,1,2024-09-19,06:42,A,72,6.1NRT,299.78,10.6,D
-1.04122,112.74556,340.61,1.06,1.03,2024-09-19,06:42,A,90,6.1NRT,297.65,41.59,D
-0.76722,114.6259,318.46,1.01,1,2024-09-19,06:42,A,68,6.1NRT,294.95,9.9,D
-0.71043,115.01875,334.39,1.03,1.01,2024-09-19,06:42,A,86,6.1NRT,301.69,28.73,D
-0.70913,115.02777,324.81,1.03,1.01,2024-09-19,06:42,A,77,6.1NRT,299.43,16.15,D
-0.8889,113.92098,314.23,1,1,2024-09-19,06:42,A,54,6.1NRT,297.66,6,D
-1.19203,111.88427,333,1.15,1.07,2024-09-19,06:42,A,86,6.1NRT,294.51,34.05,D
-1.08554,112.62402,314.76,1.07,1.03,2024-09-19,06:42,A,63,6.1NRT,296.33,8.15,D
-1.04269,112.92097,317.89,1.04,1.02,2024-09-19,06:42,A,69,6.1NRT,298.21,10.13,D
-1.04137,112.93012,320.07,1.04,1.02,2024-09-19,06:42,A,72,6.1NRT,298.61,12.2,D
-0.9233,113.74609,321.68,1,1,2024-09-19,06:42,A,74,6.1NRT,299.48,12.02,D
-0.92202,113.75491,327.47,1,1,2024-09-19,06:42,A,80,6.1NRT,299.11,18.55,D
-0.91563,113.79903,313.35,1,1,2024-09-19,06:42,A,55,6.1NRT,298.83,5.2,D
-0.7979,114.6088,316.59,1.01,1,2024-09-19,06:42,A,63,6.1NRT,297.83,8.23,D
-0.79661,114.61765,315.63,1.01,1,2024-09-19,06:42,A,61,6.1NRT,297.68,7.41,D
-1.3201,111.06258,313.68,1.29,1.13,2024-09-19,06:42,A,64,6.1NRT,297.43,10.2,D
-1.09874,112.59715,328.84,1.07,1.03,2024-09-19,06:42,A,82,6.1NRT,298.41,23.29,D
-1.09738,112.60654,330.04,1.07,1.03,2024-09-19,06:42,A,83,6.1NRT,297.64,24.64,D
-0.92576,113.79151,326.86,1,1,2024-09-19,06:42,A,79,6.1NRT,299.07,17.6,D
-1.17763,112.11703,311.92,1.12,1.06,2024-09-19,06:42,A,56,6.1NRT,296.88,6.71,D
-1.134,112.41818,314.15,1.09,1.04,2024-09-19,06:42,A,62,6.1NRT,297.92,7.67,D
-1.05675,112.9511,327.85,1.04,1.02,2024-09-19,06:42,A,81,6.1NRT,297.73,20.52,D
-1.06282,113.03586,319.29,1.04,1.02,2024-09-19,06:42,A,71,6.1NRT,298.92,11.44,D
-0.95745,113.76011,331.15,1,1,2024-09-19,06:42,A,83,6.1NRT,299.8,22.17,D
-0.95617,113.76894,324.62,1,1,2024-09-19,06:42,A,77,6.1NRT,299.49,14.22,D
-0.89737,114.17352,369.88,1,1,2024-09-19,06:42,A,100,6.1NRT,300.69,107.89,D
-0.89609,114.1823,367.68,1,1,2024-09-19,06:42,A,100,6.1NRT,299.28,100.77,D
-1.40776,110.74291,318.36,1.36,1.15,2024-09-19,06:42,A,72,6.1NRT,296.49,16.63,D
-1.40601,110.7548,314.96,1.35,1.15,2024-09-19,06:42,A,67,6.1NRT,295.13,11.95,D
-1.16442,112.40301,333.09,1.09,1.04,2024-09-19,06:42,A,85,6.1NRT,297.86,29.88,D
